parcelNumber,fullAddress,longitude,latitude,distanceFromWarehouseMiles,appraisedValue,yearBuilt,numStories,livingArea,numBedrooms,numFullBaths,numHalfBaths,basement,basementArea
17-19-01-69-550,"3698 COLONY HILL DR, Zanesville OH",-82.03148,39.996212,4.892559200134149,96600,2004,1,864,2,1,0,NO,0
17-19-01-77-550,"3716 COLONY HILL DR, Zanesville OH",-82.031922,39.996186,4.892056907337115,121600,2004,1,1152,3,2,0,NO,0
17-19-01-79-550,"3730 COLONY HILL DR, Zanesville OH",-82.032372,39.996205,4.894800568941849,96600,2004,1,864,2,1,0,NO,0
17-19-01-85-550,"3746 COLONY HILL DR, Zanesville OH",-82.0328679,39.996083,4.888092981801751,105200,2004,1,912,2,2,0,NO,0
81-20-03-03-000,"261 MUSKINGUM AVE, Zanesville OH",-82.0082565,39.9349038,1.1677050710333257,20800,1901,2,5256,12,7,0,YES,2510
81-22-01-01-000,"1246 WAYNE AVE, Zanesville OH",-82.00043300000002,39.917645,1.4930663776715907,53400,1925,1,1120,3,1,0,YES,560
81-28-01-04-000,"1004 WAYNE AVE, Zanesville OH",-82.00088199999999,39.923103,1.3753796473113968,57e3,1901,2,1224,2,1,0,YES,480
81-28-01-05-000,"998 WAYNE AVE, Zanesville OH",-82.000891,39.92327,1.373513188659877,66200,1901,2,1778,3,1,1,NO,0
81-31-01-02-001,"1067 ARCADIA LN, Zanesville OH",-81.990808,39.922989,1.9074984296352422,72800,1998,1,1104,3,1,0,YES,552
81-34-01-03-000,"728 WAYNE AVE, Zanesville OH",-82.00009,39.9282899,1.419077733177501,119300,1870,2,2001,4,1,0,YES,976
81-35-01-05-000,"1045 DILLON RD, Zanesville OH",-81.996802,39.927647,1.5875097397763611,64800,1901,1,976,2,1,0,YES,352
81-35-02-01-000,"1040 DILLON RD, Zanesville OH",-81.997118,39.926023,1.564609817622956,88e3,1901,2,1908,4,1,1,YES,900
81-36-01-02-000,"1306 DILLON RD, Zanesville OH",-81.9955691,39.9275882,1.6523067229252875,39800,1975,1,1296,3,1,0,NO,0
81-36-01-03-000,"910 CALVERT ST, Zanesville OH",-81.992543,39.926389,1.8078545760586215,86100,1919,1,1344,2,1,0,YES,576
81-37-01-06-000,"1394 COSGRAVE AVE, Zanesville OH",-81.99006899999999,39.92869900000001,1.9501654974810376,53e3,1901,1,1302,3,1,0,YES,1302
81-37-01-09-000,"1362 COSGRAVE AVE, Zanesville OH",-81.990793,39.92874500000001,1.9123631192728459,32200,1969,1,760,2,1,0,NO,0
81-40-01-02-000,"638 WAYNE AVE, Zanesville OH",-82.00106199999999,39.9291849,1.3778300970609252,33600,1900,1,980,2,1,0,YES,980
81-40-01-05-000,"616 WAYNE AVE, Zanesville OH",-82.0020667,39.9295696,1.3307127665727028,35600,1901,1,852,2,1,0,YES,832
81-40-02-03-000,"560 WAYNE AVE, Zanesville OH",-82.001496,39.930404,1.3732080276082865,51200,1900,2,1544,4,1,0,YES,386
81-40-02-05-000,"552 WAYNE AVE, Zanesville OH",-82.001497,39.930585,1.3762514441196105,38900,1900,2,1352,3,1,0,YES,480
81-42-01-09-000,"1214 SELSAM AVE, Zanesville OH",-81.9941233,39.9311204,1.7652172261195755,55e3,1942,1,1254,3,1,0,YES,280
81-31-01-04-000,"1071 CALVERT ST, Zanesville OH",-81.993622,39.92376000000001,1.7543018312592376,55700,1962,1,1200,2,1,0,YES,1200
81-33-01-06-000,"946 WAYNE AVE, Zanesville OH",-82.00040899999999,39.924999,1.3903253582005874,840,1901,2,1408,3,0,0,YES,256
81-35-01-03-000,"449 FISHER LN, Zanesville OH",-81.996954,39.932921,1.6528815312007157,59400,1860,2,1946,2,1,0,YES,928
81-35-01-07-001,"1055 DILLON RD, Zanesville OH",-81.99571999999999,39.9277374,1.645233391544379,120600,2004,1,2356,4,3,0,YES,2356
