parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea,fullAddress,latitude,longitude,distanceFromWarehouseMeters
81-50-99-19-000,500 WAYNE AVE,"$2,100.00",NA,NA,NA,NA,NA,NA,NA,NA,"500 WAYNE AVE, Zanesville OH",39.931757,-82.00074599999999,2312.3412431627494
81-51-01-01-000,MARIETTA ST,"$14,400.00",NA,NA,NA,NA,NA,NA,NA,NA,"MARIETTA ST, Zanesville OH",39.936279999999996,-82.0008565,2500.219116302881
81-51-01-07-000,232 STILLWELL ST,"$1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"232 STILLWELL ST, Zanesville OH",39.9354714,-82.0009923,2448.259179029413
81-51-02-01-000,930 MARIETTA ST,"$20,700.00",NA,NA,NA,NA,NA,NA,NA,NA,"930 MARIETTA ST, Zanesville OH",39.9361018,-82.0016373,2432.213005506237
81-51-02-05-000,902 MARIETTA ST,"$23,800.00",NA,NA,NA,NA,NA,NA,NA,NA,"902 MARIETTA ST, Zanesville OH",39.9361494,-82.0019137,2414.1400132320514
81-51-02-10-000,215 STILLWELL ST,"$1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,"215 STILLWELL ST, Zanesville OH",39.935846,-82.00142,2434.9942767424054
81-51-02-13-000,ALLEY BWAYNE & STILLWELL,$400.00,NA,NA,NA,NA,NA,NA,NA,NA,"ALLEY BWAYNE & STILLWELL, Zanesville OH",42.30103949999999,-83.5377407,293224.0820794724
81-51-02-17-000,230 WAYNE AVE,$600.00,NA,NA,NA,NA,NA,NA,NA,NA,"230 WAYNE AVE, Zanesville OH",39.93558,-82.002042,2374.216488410036
81-51-02-18-000,234 WAYNE AVE,"$1,300.00",NA,NA,NA,NA,NA,NA,NA,NA,"234 WAYNE AVE, Zanesville OH",39.9354869,-82.00214919999999,2361.280570080203
81-51-02-19-000,911 HUGHES ST,$600.00,NA,NA,NA,NA,NA,NA,NA,NA,"911 HUGHES ST, Zanesville OH",39.9354856,-82.00197419999999,2374.4322765490806
81-45-01-02-000,1624 SHARON AVE,"$64,400.00",1.5,1900,2,1,1,1588,YES,784,"1624 SHARON AVE, Zanesville OH",39.93498,-81.9851406,3691.226673518094
81-45-01-04-000,1606 SHARON AVE,"$57,100.00",2,1933,3,2,0,1456,YES,336,"1606 SHARON AVE, Zanesville OH",39.9349425,-81.9856306,3649.941077754645
81-45-01-04-002,338 WHITE OAK AVE,"$87,700.00",1,2005,3,2,0,1144,NO,0,"338 WHITE OAK AVE, Zanesville OH",39.9342768,-81.9857353,3620.8767163118273
81-45-01-07-000,362 WHITE OAK AVE,"$81,000.00",2,1900,4,2,0,2124,YES,948,"362 WHITE OAK AVE, Zanesville OH",39.9336845,-81.98567469999999,3608.8287876572326
81-45-01-08-000,368 WHITE OAK AVE,"$42,400.00",1,1901,2,1,0,972,YES,360,"368 WHITE OAK AVE, Zanesville OH",39.9335029,-81.9855125,3617.2584225150035
81-45-01-09-000,380 WHITE OAK AVE,"$60,700.00",NA,NA,NA,NA,NA,NA,NA,NA,"380 WHITE OAK AVE, Zanesville OH",39.9332509,-81.9855726,3605.5418999780727
81-45-01-10-000,408 WHITE OAK AVE,"$51,400.00",1,1915,3,2,0,882,YES,882,"408 WHITE OAK AVE, Zanesville OH",39.933039,-81.9857332,3586.694462531636
81-45-01-14-000,430 WHITE OAK AVE,"$59,500.00",1,1918,2,1,0,936,YES,936,"430 WHITE OAK AVE, Zanesville OH",39.9325316,-81.9857672,3571.218175938053
81-45-01-18-000,454 WHITE OAK AVE,"$53,900.00",1,1950,2,1,0,996,YES,996,"454 WHITE OAK AVE, Zanesville OH",39.9319638,-81.9857133,3562.5776095986716
81-45-01-19-000,460 WHITE OAK AVE,"$44,000.00",1,1950,2,1,0,996,YES,996,"460 WHITE OAK AVE, Zanesville OH",39.931828,-81.9857127,3559.646102823922
81-46-01-11-000,338 JORDAN AVE,"$34,500.00",1,1935,2,1,0,660,YES,660,"338 JORDAN AVE, Zanesville OH",39.93409399999999,-81.9867359,3533.137178228161
