parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea,fullAddress,latitude,longitude,distanceFromWarehouseMeters
81-57-03-08-000,HARVEY ST,$100.00,NA,NA,NA,NA,NA,NA,NA,NA,"HARVEY ST, Zanesville OH",39.9371087,-82.0006737,2558.940192771341
81-57-03-14-000,DRAKE ST,$300.00,NA,NA,NA,NA,NA,NA,NA,NA,"DRAKE ST, Zanesville OH",39.94919400000001,-82.01799199999999,2729.7374452249164
81-57-03-17-000,DRAKE ST,$300.00,NA,NA,NA,NA,NA,NA,NA,NA,"DRAKE ST, Zanesville OH",39.94919400000001,-82.01799199999999,2729.7374452249164
81-57-03-20-000,HARVEY ST,$400.00,NA,NA,NA,NA,NA,NA,NA,NA,"HARVEY ST, Zanesville OH",39.9371087,-82.0006737,2558.940192771341
81-57-03-21-000,DRAKE ST,$300.00,NA,NA,NA,NA,NA,NA,NA,NA,"DRAKE ST, Zanesville OH",39.94919400000001,-82.01799199999999,2729.7374452249164
81-57-03-25-000,DRAKE ST,$300.00,NA,NA,NA,NA,NA,NA,NA,NA,"DRAKE ST, Zanesville OH",39.94919400000001,-82.01799199999999,2729.7374452249164
81-57-03-26-000,DRAKE ST,$300.00,NA,NA,NA,NA,NA,NA,NA,NA,"DRAKE ST, Zanesville OH",39.94919400000001,-82.01799199999999,2729.7374452249164
81-57-03-32-000,1002 HARVEY ST,$400.00,NA,NA,NA,NA,NA,NA,NA,NA,"1002 HARVEY ST, Zanesville OH",39.9369159,-81.999214,2657.210556126514
81-57-03-34-000,992 HARVEY ST,"$10,500.00",1,1901,2,1,0,986,YES,493,"992 HARVEY ST, Zanesville OH",39.9368525,-81.9994316,2637.5147969467926
81-57-03-36-000,HARVEY ST,$500.00,NA,NA,NA,NA,NA,NA,NA,NA,"HARVEY ST, Zanesville OH",39.9371087,-82.0006737,2558.940192771341
81-57-03-43-000,HARVEY ST,$200.00,NA,NA,NA,NA,NA,NA,NA,NA,"HARVEY ST, Zanesville OH",NA,NA,NA
81-57-03-45-000,HARVEY ST,$500.00,NA,NA,NA,NA,NA,NA,NA,NA,"HARVEY ST, Zanesville OH",39.9371087,-82.0006737,2558.940192771341
81-57-03-48-000,936 HARVEY ST,$500.00,NA,NA,NA,NA,NA,NA,NA,NA,"936 HARVEY ST, Zanesville OH",39.936908,-82.001064,2518.9156364192313
81-57-03-51-000,926 HARVEY ST,$500.00,NA,NA,NA,NA,NA,NA,NA,NA,"926 HARVEY ST, Zanesville OH",39.936917,-82.001306,2501.560299812413
81-57-03-57-000,929 MARIETTA ST,"$9,800.00",2,1870,4,2,0,2110,YES,515,"929 MARIETTA ST, Zanesville OH",39.9364772,-82.00133989999999,2474.702939828303
81-55-01-14-001,235 HARRIS RD,"$33,200.00",1,1901,2,0,0,880,YES,560,"235 HARRIS RD, Zanesville OH",39.9363652,-81.9902312,3329.2520306583247
81-55-01-22-000,112 HUEY ST,"$80,800.00",2,1901,3,1,0,1856,YES,384,"112 HUEY ST, Zanesville OH",NA,NA,NA
81-55-01-33-000,1457 SHARON REAR AVE,"$26,300.00",1,1925,2,1,0,720,YES,360,"1457 SHARON REAR AVE, Zanesville OH",NA,NA,NA
81-55-01-36-000,261 HARRIS RD,"$44,100.00",1,1901,3,1,0,1024,YES,736,"261 HARRIS RD, Zanesville OH",39.9359039,-81.99064039999999,3278.352239981716
81-55-01-38-000,1447 SHARON AVE,"$59,200.00",NA,NA,NA,NA,NA,NA,NA,NA,"1447 SHARON AVE, Zanesville OH",39.9356762,-81.9876932,3506.8689942765886
81-56-01-02-000,58 GLESSNER AVE,"$40,700.00",1,1958,2,1,0,960,NO,0,"58 GLESSNER AVE, Zanesville OH",39.937614,-81.993087,3159.496020553285
81-56-01-07-000,1279 DAVIS ST,"$1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"1279 DAVIS ST, Zanesville OH",39.93680200000001,-81.99275999999999,3147.8570231842295
81-56-01-10-000,DAVIS ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAVIS ST, Zanesville OH",39.9365684,-81.9928035,3134.2126114053735
81-56-01-11-000,110 GLESSNER AVE,"$6,900.00",NA,NA,NA,NA,NA,NA,NA,NA,"110 GLESSNER AVE, Zanesville OH",39.937257,-81.99273199999999,3170.471573149634
81-56-02-09-000,1260 DAVIS ST,"$33,400.00",1,1930,2,1,0,900,YES,900,"1260 DAVIS ST, Zanesville OH",39.936356,-81.993437,3075.2006690605126
81-56-02-14-000,MOORE ST,$700.00,NA,NA,NA,NA,NA,NA,NA,NA,"MOORE ST, Zanesville OH",39.935753,-81.9944861,2966.6892694873213
81-56-02-16-000,MOORE ST,$700.00,NA,NA,NA,NA,NA,NA,NA,NA,"MOORE ST, Zanesville OH",39.935753,-81.9944861,2966.6892694873213
81-56-02-17-000,MOORE ST,$700.00,NA,NA,NA,NA,NA,NA,NA,NA,"MOORE ST, Zanesville OH",39.935753,-81.9944861,2966.6892694873213
81-56-02-18-000,MOORE ST,$700.00,NA,NA,NA,NA,NA,NA,NA,NA,"MOORE ST, Zanesville OH",39.935753,-81.9944861,2966.6892694873213
81-56-02-19-000,MOORE ST,$700.00,NA,NA,NA,NA,NA,NA,NA,NA,"MOORE ST, Zanesville OH",39.935753,-81.9944861,2966.6892694873213
81-56-03-03-000,MOORE ST,$700.00,NA,NA,NA,NA,NA,NA,NA,NA,"MOORE ST, Zanesville OH",39.935753,-81.9944861,2966.6892694873213
44-52-01-26-550,5367 E SHEFFIELD CR,"$188,400.00",1,2008,3,2,0,1869,NO,0,"5367 E SHEFFIELD CR, Zanesville OH",40.0217495,-82.0234947,10708.94503887403
44-52-01-28-550,5318 W SHEFFIELD CIR,"$185,800.00",1,2008,3,2,1,1395,NO,0,"5318 W SHEFFIELD CIR, Zanesville OH",40.021222,-82.024314,10648.728448423102
44-52-01-31-550,5312 W SHEFFIELD CIR,"$185,800.00",1,2008,3,2,1,1395,NO,0,"5312 W SHEFFIELD CIR, Zanesville OH",NA,NA,NA
44-52-01-33-550,5359 W SHEFFIELD CIR,"$189,200.00",1,2008,3,2,0,1869,NO,0,"5359 W SHEFFIELD CIR, Zanesville OH",40.022202,-82.02469099999999,10757.266297123626
44-52-01-38-550,5385 WELLINGTON,"$159,600.00",1,2011,2,2,0,1417,NO,0,"5385 WELLINGTON, Zanesville OH",40.0226401,-82.0238681,10807.320078596464
44-52-01-40-550,5336 W SHEFFIELD CIR,"$184,800.00",1,2013,3,2,0,1846,NO,0,"5336 W SHEFFIELD CIR, Zanesville OH",40.0215888,-82.0240165,10690.048304517974
44-52-01-44-550,5337 W SHEFFIELD CIR,"$186,900.00",0,2013,2,2,0,1825,NO,0,"5337 W SHEFFIELD CIR, Zanesville OH",40.0215731,-82.0249409,10686.960664920032
44-52-01-47-550,5333 W SHEFFIELD CIR,"$161,700.00",1,2013,2,2,0,1430,NO,0,"5333 W SHEFFIELD CIR, Zanesville OH",40.0215341,-82.02494449999999,10682.615505745962
44-52-01-49-550,5388 WELLINGTON PLACE,"$186,000.00",1,2014,3,2,0,1880,NO,0,"5388 WELLINGTON PLACE, Zanesville OH",40.022096,-82.02347619999999,10747.544520064697
44-52-01-52-550,5329 E SHEFFIELD CIR,"$159,600.00",1,2015,2,2,0,1312,NO,0,"5329 E SHEFFIELD CIR, Zanesville OH",40.0217665,-82.02376550000001,10710.28894962266
81-56-03-04-000,MOORE ST,$700.00,NA,NA,NA,NA,NA,NA,NA,NA,"MOORE ST, Zanesville OH",39.935753,-81.9944861,2966.6892694873213
81-56-03-08-000,MOORE ST,"$2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"MOORE ST, Zanesville OH",39.935753,-81.9944861,2966.6892694873213
81-56-03-15-000,1103 MARIETTA ST,$600.00,NA,NA,NA,NA,NA,NA,NA,NA,"1103 MARIETTA ST, Zanesville OH",39.9363249,-81.996788,2812.5579762244784
81-56-03-16-000,115 13TH ST,$100.00,NA,NA,NA,NA,NA,NA,NA,NA,"115 13TH ST, Zanesville OH",39.936305,-81.996312,2848.455410852989
81-56-03-21-000,MARIETTA ST,$400.00,NA,NA,NA,NA,NA,NA,NA,NA,"MARIETTA ST, Zanesville OH",39.936279999999996,-82.0008565,2500.219116302881
81-56-03-30-000,121 GLESSNER AVE,"$24,800.00",1,1901,2,1,0,1180,YES,982,"121 GLESSNER AVE, Zanesville OH",39.937092,-81.99274199999999,3162.2074263256864
81-56-03-31-000,115 GLESSNER ST,"$36,200.00",1,1901,3,1,0,1427,YES,512,"115 GLESSNER ST, Zanesville OH",39.9373093,-81.9937352,3095.0170316017975
81-56-03-32-000,115 GLESSNER AVE,"$1,500.00",NA,NA,NA,NA,NA,NA,NA,NA,"115 GLESSNER AVE, Zanesville OH",39.9373093,-81.9937352,3095.0170316017975
81-56-03-33-000,103 GLESSNER AVE,"$55,000.00",1,1987,3,1,1,960,YES,960,"103 GLESSNER AVE, Zanesville OH",39.9375937,-81.9937284,3109.0255646649475
81-57-01-06-000,HILL ST,"$1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"HILL ST, Zanesville OH",39.9455417,-81.9511725,6811.571976991393
81-57-01-09-000,HILL ST,"$1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"HILL ST, Zanesville OH",39.9455417,-81.9511725,6811.571976991393
81-57-01-17-000,HILL ST,"$1,500.00",NA,NA,NA,NA,NA,NA,NA,NA,"HILL ST, Zanesville OH",39.9455417,-81.9511725,6811.571976991393
81-57-01-33-000,1063 HARVEY ST,"$29,900.00",2,1910,3,2,0,3594,YES,702,"1063 HARVEY ST, Zanesville OH",39.9372353,-81.9973432,2814.9785264210363
81-57-03-02-000,HARVEY ST,$600.00,NA,NA,NA,NA,NA,NA,NA,NA,"HARVEY ST, Zanesville OH",39.9371087,-82.0006737,2558.940192771341
81-57-03-09-000,HARVEY ST,$400.00,NA,NA,NA,NA,NA,NA,NA,NA,"HARVEY ST, Zanesville OH",39.9371087,-82.0006737,2558.940192771341
81-57-03-16-000,DRAKE ST,$200.00,NA,NA,NA,NA,NA,NA,NA,NA,"DRAKE ST, Zanesville OH",39.94919400000001,-82.01799199999999,2729.7374452249164
81-57-03-22-000,DRAKE ST,$300.00,NA,NA,NA,NA,NA,NA,NA,NA,"DRAKE ST, Zanesville OH",39.94919400000001,-82.01799199999999,2729.7374452249164
81-57-03-23-000,1022 HARVEY ST,$400.00,NA,NA,NA,NA,NA,NA,NA,NA,"1022 HARVEY ST, Zanesville OH",39.936892,-81.99853,2707.496150297957
81-57-03-27-000,1014 HARVEY ST,$400.00,NA,NA,NA,NA,NA,NA,NA,NA,"1014 HARVEY ST, Zanesville OH",39.936904,-81.99887199999999,2682.314604954442
81-57-03-29-000,HARVEY ST,$700.00,NA,NA,NA,NA,NA,NA,NA,NA,"HARVEY ST, Zanesville OH",39.9371087,-82.0006737,2558.940192771341
81-57-03-30-000,DRAKE ST,$300.00,NA,NA,NA,NA,NA,NA,NA,NA,"DRAKE ST, Zanesville OH",39.94919400000001,-82.01799199999999,2729.7374452249164
81-57-03-39-000,972 HARVEY ST,$500.00,NA,NA,NA,NA,NA,NA,NA,NA,"972 HARVEY ST, Zanesville OH",39.9369503,-82.0001285,2590.647645977989
81-56-03-22-000,MARIETTA ST,$280.00,NA,NA,NA,NA,NA,NA,NA,NA,"MARIETTA ST, Zanesville OH",39.936279999999996,-82.0008565,2500.219116302881
81-56-03-24-000,MOORE ST,"$31,100.00",NA,NA,NA,NA,NA,NA,NA,NA,"MOORE ST, Zanesville OH",39.935753,-81.9944861,2966.6892694873213
81-56-03-25-000,MOORE ST,"$2,300.00",NA,NA,NA,NA,NA,NA,NA,NA,"MOORE ST, Zanesville OH",39.935753,-81.9944861,2966.6892694873213
81-56-03-28-000,153 GLESSNER AVE,"$35,000.00",1,1901,3,1,0,1106,YES,410,"153 GLESSNER AVE, Zanesville OH",39.936482,-81.994051,3032.5944444771917
81-57-01-12-000,HILL ST,"$1,400.00",NA,NA,NA,NA,NA,NA,NA,NA,"HILL ST, Zanesville OH",39.9455417,-81.9511725,6811.571976991393
81-57-01-36-000,1071 HARVEY ST,"$1,400.00",NA,NA,NA,NA,NA,NA,NA,NA,"1071 HARVEY ST, Zanesville OH",39.937174,-81.997112,2829.388403626862
81-57-02-01-000,HILL ST,"$4,200.00",NA,NA,NA,NA,NA,NA,NA,NA,"HILL ST, Zanesville OH",39.9455417,-81.9511725,6811.571976991393
81-57-02-06-000,HARVEY ST,"$4,800.00",NA,NA,NA,NA,NA,NA,NA,NA,"HARVEY ST, Zanesville OH",39.9371087,-82.0006737,2558.940192771341
81-57-03-04-000,1060 HARVEY ST,$700.00,NA,NA,NA,NA,NA,NA,NA,NA,"1060 HARVEY ST, Zanesville OH",39.936857,-81.997557,2779.5280542412006
81-57-03-05-000,DRAKE ST,$200.00,NA,NA,NA,NA,NA,NA,NA,NA,"DRAKE ST, Zanesville OH",39.94919400000001,-82.01799199999999,2729.7374452249164
81-57-03-13-000,DRAKE ST,$100.00,NA,NA,NA,NA,NA,NA,NA,NA,"DRAKE ST, Zanesville OH",39.94919400000001,-82.01799199999999,2729.7374452249164
81-57-03-18-000,DRAKE ST,$400.00,NA,NA,NA,NA,NA,NA,NA,NA,"DRAKE ST, Zanesville OH",39.94919400000001,-82.01799199999999,2729.7374452249164
81-57-03-19-000,HARVEY ST,$500.00,NA,NA,NA,NA,NA,NA,NA,NA,"HARVEY ST, Zanesville OH",39.9371087,-82.0006737,2558.940192771341
81-57-03-24-000,815 HARVEY ST,$400.00,NA,NA,NA,NA,NA,NA,NA,NA,"815 HARVEY ST, Zanesville OH",39.937227300000004,-82.0034834,2361.7466751775387
81-57-03-31-000,DRAKE ST,$300.00,NA,NA,NA,NA,NA,NA,NA,NA,"DRAKE ST, Zanesville OH",39.94919400000001,-82.01799199999999,2729.7374452249164
81-57-03-37-000,980 HARVEY ST,"$15,300.00",2,1860,2,1,0,1536,YES,1104,"980 HARVEY ST, Zanesville OH",39.9369182,-81.99976,2616.4123718565565
81-57-03-42-000,HARVEY ST,$100.00,NA,NA,NA,NA,NA,NA,NA,NA,"HARVEY ST, Zanesville OH",39.9371087,-82.0006737,2558.940192771341
81-57-03-46-000,942 HARVEY ST,$500.00,NA,NA,NA,NA,NA,NA,NA,NA,"942 HARVEY ST, Zanesville OH",39.936903,-82.000942,2527.6583136912805
81-57-03-52-000,924 HARVEY ST,"$5,700.00",2,1901,3,1,0,1320,YES,600,"924 HARVEY ST, Zanesville OH",39.93701069999999,-82.00143240000001,2497.5478345523466
81-57-03-54-000,HARVEY ST,$500.00,NA,NA,NA,NA,NA,NA,NA,NA,"HARVEY ST, Zanesville OH",39.9371087,-82.0006737,2558.940192771341
81-57-03-59-000,935 MARIETTA ST,"$2,100.00",NA,NA,NA,NA,NA,NA,NA,NA,"935 MARIETTA ST, Zanesville OH",39.936546,-82.001139,2493.4042492622093
81-57-03-62-000,951 MARIETTA ST,"$2,100.00",NA,NA,NA,NA,NA,NA,NA,NA,"951 MARIETTA ST, Zanesville OH",39.936528,-82.00067,2527.421041022247
81-57-03-66-000,973 MARIETTA ST,"$1,400.00",NA,NA,NA,NA,NA,NA,NA,NA,"973 MARIETTA ST, Zanesville OH",39.936503,-82.000041,2573.2718775398494
81-57-03-78-000,1017 MARIETTA ST,$800.00,NA,NA,NA,NA,NA,NA,NA,NA,"1017 MARIETTA ST, Zanesville OH",39.936414,-81.998836,2659.859951170014
81-57-03-87-000,1045 MARIETTA ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1045 MARIETTA ST, Zanesville OH",39.936386,-81.9980439,2718.9162650295643
81-55-01-37-000,NOT ON FILE,"$3,100.00",NA,NA,NA,NA,NA,NA,NA,NA,"NOT ON FILE, Zanesville OH",NA,NA,NA
81-56-01-01-000,109 GREEN ST,"$15,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"109 GREEN ST, Zanesville OH",39.937485,-81.99234899999999,3210.7075343037486
81-56-01-03-000,GLESSNER AVE,"$1,900.00",NA,NA,NA,NA,NA,NA,NA,NA,"GLESSNER AVE, Zanesville OH",39.9375087,-81.99354249999999,3119.319704265727
81-56-02-05-000,1278 DAVIS ST,"$85,800.00",1,2007,3,2,0,2052,YES,2052,"1278 DAVIS ST, Zanesville OH",39.936347,-81.992705,3132.4460288992323
81-56-02-08-000,1264 DAVIS ST,"$23,600.00",1,1890,2,1,0,696,YES,696,"1264 DAVIS ST, Zanesville OH",39.93635,-81.992991,3110.0334706107205
81-56-02-13-000,MOORE ST,$700.00,NA,NA,NA,NA,NA,NA,NA,NA,"MOORE ST, Zanesville OH",39.935753,-81.9944861,2966.6892694873213
81-56-02-20-000,MOORE ST,$700.00,NA,NA,NA,NA,NA,NA,NA,NA,"MOORE ST, Zanesville OH",39.935753,-81.9944861,2966.6892694873213
81-56-03-09-000,MOORE ST,"$2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"MOORE ST, Zanesville OH",39.935753,-81.9944861,2966.6892694873213
81-56-03-11-000,115 13TH ST,$600.00,NA,NA,NA,NA,NA,NA,NA,NA,"115 13TH ST, Zanesville OH",39.936305,-81.996312,2848.455410852989
81-56-03-14-000,MARIETTA ST,$600.00,NA,NA,NA,NA,NA,NA,NA,NA,"MARIETTA ST, Zanesville OH",NA,NA,NA
81-56-03-26-000,MOORE ST,"$1,300.00",NA,NA,NA,NA,NA,NA,NA,NA,"MOORE ST, Zanesville OH",39.935753,-81.9944861,2966.6892694873213
81-56-03-34-000,1188 GREENWOOD AVE,"$1,700.00",NA,NA,NA,NA,NA,NA,NA,NA,"1188 GREENWOOD AVE, Zanesville OH",39.940238,-81.99397800000001,3228.1027438369124
81-57-03-63-000,957 MARIETTA ST,"$5,500.00",1,1865,0,1,0,880,YES,768,"957 MARIETTA ST, Zanesville OH",39.9364224,-82.0005363,2531.800985986105
81-57-03-64-000,961 MARIETTA ST,"$20,900.00",1,1901,2,1,0,1128,YES,1128,"961 MARIETTA ST, Zanesville OH",39.9364722,-82.0003911,2545.3386992806604
81-57-03-77-000,1017 MARIETTA ST,$800.00,NA,NA,NA,NA,NA,NA,NA,NA,"1017 MARIETTA ST, Zanesville OH",39.936414,-81.998836,2659.859951170014
81-57-03-80-000,1027 MARIETTA ST,"$17,700.00",2,1895,3,1,0,1840,YES,920,"1027 MARIETTA ST, Zanesville OH",39.936404,-81.998537,2682.1329292147725
81-57-03-85-000,1045 MARIETTA ST,$800.00,NA,NA,NA,NA,NA,NA,NA,NA,"1045 MARIETTA ST, Zanesville OH",NA,NA,NA
81-57-03-86-000,MARIETTA ST,$400.00,NA,NA,NA,NA,NA,NA,NA,NA,"MARIETTA ST, Zanesville OH",39.936279999999996,-82.0008565,2500.219116302881
81-57-03-88-000,1053 MARIETTA ST,$800.00,NA,NA,NA,NA,NA,NA,NA,NA,"1053 MARIETTA ST, Zanesville OH",39.936377,-81.9977849,2738.320701431393
81-57-03-90-000,1059 MARIETTA ST,"$1,400.00",NA,NA,NA,NA,NA,NA,NA,NA,"1059 MARIETTA ST, Zanesville OH",NA,NA,NA
81-57-03-93-000,1067 MARIETTA ST,"$1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"1067 MARIETTA ST, Zanesville OH",39.936347,-81.99709399999999,2789.9954105202532
81-58-01-05-000,1054 WHEELING AVE,"$17,900.00",2,1901,4,1,0,1560,YES,480,"1054 WHEELING AVE, Zanesville OH",39.939894,-81.9970529,2983.9480548791266
81-58-01-10-000,1034 WHEELING AVE,"$30,700.00",2,1900,4,4,0,3424,YES,1640,"1034 WHEELING AVE, Zanesville OH",39.9401576,-81.9976567,2956.5027906014257
81-58-02-02-000,1008 WHEELING AVE,"$2,700.00",NA,NA,NA,NA,NA,NA,NA,NA,"1008 WHEELING AVE, Zanesville OH",39.940348,-81.998216,2928.5579063400655
81-57-01-01-000,HILL ST,"$1,500.00",NA,NA,NA,NA,NA,NA,NA,NA,"HILL ST, Zanesville OH",39.9455417,-81.9511725,6811.571976991393
81-57-01-26-000,HARVEY ST,"$1,800.00",NA,NA,NA,NA,NA,NA,NA,NA,"HARVEY ST, Zanesville OH",39.9371087,-82.0006737,2558.940192771341
81-57-02-02-000,HARVEY ST,"$52,300.00",NA,NA,NA,NA,NA,NA,NA,NA,"HARVEY ST, Zanesville OH",39.9371087,-82.0006737,2558.940192771341
81-57-02-04-000,HARVEY ST,"$4,300.00",NA,NA,NA,NA,NA,NA,NA,NA,"HARVEY ST, Zanesville OH",39.9371087,-82.0006737,2558.940192771341
81-57-02-07-000,HARVEY ST,"$2,900.00",NA,NA,NA,NA,NA,NA,NA,NA,"HARVEY ST, Zanesville OH",39.9371087,-82.0006737,2558.940192771341
81-57-03-07-000,1054 HARVEY ST,$900.00,NA,NA,NA,NA,NA,NA,NA,NA,"1054 HARVEY ST, Zanesville OH",39.936797,-81.997716,2764.4030810078325
81-57-03-07-001,DRAKE ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRAKE ST, Zanesville OH",39.94919400000001,-82.01799199999999,2729.7374452249164
81-57-03-10-000,DRAKE ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRAKE ST, Zanesville OH",NA,NA,NA
81-57-03-11-000,DRAKE ST,$400.00,NA,NA,NA,NA,NA,NA,NA,NA,"DRAKE ST, Zanesville OH",39.94919400000001,-82.01799199999999,2729.7374452249164
81-57-03-12-000,HARVEY ST,$500.00,NA,NA,NA,NA,NA,NA,NA,NA,"HARVEY ST, Zanesville OH",39.9371087,-82.0006737,2558.940192771341
81-57-03-15-000,DRAKE ST,$200.00,NA,NA,NA,NA,NA,NA,NA,NA,"DRAKE ST, Zanesville OH",39.94919400000001,-82.01799199999999,2729.7374452249164
81-57-03-28-000,1006 HARVEY ST,"$18,400.00",1.5,1901,4,1,0,1762,YES,480,"1006 HARVEY ST, Zanesville OH",39.9369172,-81.99903809999999,2670.501991848142
81-57-03-33-000,1102 HARVEY ST,$500.00,NA,NA,NA,NA,NA,NA,NA,NA,"1102 HARVEY ST, Zanesville OH",39.936829,-81.999314,2645.1092375339467
81-57-03-35-000,992 HARVEY ST,$500.00,NA,NA,NA,NA,NA,NA,NA,NA,"992 HARVEY ST, Zanesville OH",39.9368525,-81.9994316,2637.5147969467926
81-57-03-38-000,980 HARVEY ST,$500.00,NA,NA,NA,NA,NA,NA,NA,NA,"980 HARVEY ST, Zanesville OH",39.9369182,-81.99976,2616.4123718565565
81-57-03-40-000,972 HARVEY ST,"$1,100.00",NA,NA,NA,NA,NA,NA,NA,NA,"972 HARVEY ST, Zanesville OH",39.9369503,-82.0001285,2590.647645977989
81-57-03-44-000,HARVEY ST,$300.00,NA,NA,NA,NA,NA,NA,NA,NA,"HARVEY ST, Zanesville OH",39.9371087,-82.0006737,2558.940192771341
81-57-03-47-000,942 HARVEY ST,$500.00,NA,NA,NA,NA,NA,NA,NA,NA,"942 HARVEY ST, Zanesville OH",39.936903,-82.000942,2527.6583136912805
81-57-03-50-000,HARVEY ST,$100.00,NA,NA,NA,NA,NA,NA,NA,NA,"HARVEY ST, Zanesville OH",39.9371087,-82.0006737,2558.940192771341
81-57-03-53-000,HARVEY ST,$500.00,NA,NA,NA,NA,NA,NA,NA,NA,"HARVEY ST, Zanesville OH",39.9371087,-82.0006737,2558.940192771341
81-57-03-60-000,941 MARIETTA ST,"$1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"941 MARIETTA ST, Zanesville OH",39.936539,-82.000963,2506.135293903398
81-57-03-61-000,947 MARIETTA ST,"$1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"947 MARIETTA ST, Zanesville OH",39.936535,-82.000846,2514.6479503604014
81-57-03-69-000,987 MARIETTA ST,"$41,500.00",2,1901,3,1,0,1912,YES,924,"987 MARIETTA ST, Zanesville OH",39.936484,-81.999571,2607.7132519697693
81-57-03-70-000,MARIETTA ST,"$2,300.00",NA,NA,NA,NA,NA,NA,NA,NA,"MARIETTA ST, Zanesville OH",39.936279999999996,-82.0008565,2500.219116302881
81-57-03-72-000,991 -993 MARIETTA ST,"$11,300.00",2,1865,4,1,0,2376,YES,1056,"991 -993 MARIETTA ST, Zanesville OH",39.9362202,-81.99952429999999,2597.724118685633
81-57-03-89-000,MARIETTA ST,$800.00,NA,NA,NA,NA,NA,NA,NA,NA,"MARIETTA ST, Zanesville OH",39.936279999999996,-82.0008565,2500.219116302881
81-58-01-01-000,1074 WHEELING AVE,"$4,500.00",1,1890,2,1,0,976,YES,368,"1074 WHEELING AVE, Zanesville OH",39.939788,-81.996588,3011.3605047540573
81-58-01-09-000,1040 WHEELING AVE,"$31,700.00",2,1901,3,1,0,1456,YES,728,"1040 WHEELING AVE, Zanesville OH",39.9401613,-81.99746650000002,2970.3119218897955
81-58-01-11-000,1028 WHEELING AVE,"$24,000.00",2,1910,4,1,0,2176,YES,1088,"1028 WHEELING AVE, Zanesville OH",39.9402371,-81.9978192,2949.803330990457
44-52-01-36-550,5387 WELLINGTON,"$165,400.00",1,2011,2,2,0,1532,NO,0,"5387 WELLINGTON, Zanesville OH",40.02282539999999,-82.0236893,10828.282752193336
44-52-01-41-550,5338 W SHEFFIELD CIR,"$181,800.00",1,2013,3,2,0,1810,NO,0,"5338 W SHEFFIELD CIR, Zanesville OH",40.0215913,-82.02425079999999,10689.931871604638
44-52-01-46-550,5335 W SHEFFIELD CIR,"$186,900.00",1,2013,2,2,0,1825,NO,0,"5335 W SHEFFIELD CIR, Zanesville OH",40.0215536,-82.0249427,10684.78808460609
44-52-01-48-550,5386 WELLINGTON PLACE,"$175,900.00",1,2014,2,2,0,1692,NO,0,"5386 WELLINGTON PLACE, Zanesville OH",40.022096,-82.02347619999999,10747.544520064697
44-52-01-50-550,5384 WELLINGTON PLACE,"$175,900.00",1,2014,2,2,0,1692,NO,0,"5384 WELLINGTON PLACE, Zanesville OH",40.022096,-82.02347619999999,10747.544520064697
44-52-01-60-550,5317 W SHEFFIELD CIR,"$162,100.00",1,2013,2,2,0,1825,NO,0,"5317 W SHEFFIELD CIR, Zanesville OH",40.0213626,-82.0249535,10663.515713046236
44-52-01-62-550,5315 W SHEFFIELD CIR,"$162,100.00",1,2013,2,2,0,1825,NO,0,"5315 W SHEFFIELD CIR, Zanesville OH",40.0213431,-82.0249541,10661.344495930858
81-01-02-03-000,334 PUTNAM AVE,"$41,200.00",NA,NA,NA,NA,NA,NA,NA,NA,"334 PUTNAM AVE, Zanesville OH",39.9334523,-82.00691239999999,1896.0214216730064
81-01-02-06-000,375 MUSKINGUM AVE,"$97,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"375 MUSKINGUM AVE, Zanesville OH",39.9334105,-82.0063936,1933.298406403093
81-01-02-09-000,MUSKINGUM AVE,$700.00,NA,NA,NA,NA,NA,NA,NA,NA,"MUSKINGUM AVE, Zanesville OH",39.9290567,-82.00408809999999,1961.035075630891
81-58-02-12-000,959 SILLIMAN ST,"$1,400.00",NA,NA,NA,NA,NA,NA,NA,NA,"959 SILLIMAN ST, Zanesville OH",39.9403427,-81.9994858,2839.171131961906
81-58-02-14-001,GREENWOOD AVE,"$1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,"GREENWOOD AVE, Zanesville OH",39.9411548,-81.9913845,3470.7694215988004
81-58-02-27-000,981 E MAIN ST,"$19,800.00",1,1890,2,1,0,840,YES,840,"981 E MAIN ST, Zanesville OH",39.940017,-81.999619,2809.0107229917094
81-58-02-42-000,996 GREENWOOD AVE,"$83,500.00",2,2004,4,2,0,1420,YES,680,"996 GREENWOOD AVE, Zanesville OH",39.9405784,-81.9994663,2855.7864434988473
